hu1,hu2,hu3,hu4,hu5,hu6,hu7,shape
0.0010122010953536077,1.2106832536827605e-12,3.3997438514044576e-17,5.203604948038994e-15,-4.439194784685265e-34,5.496939002323818e-21,-2.188666378758546e-30,circle
0.0010118896395426825,7.608142711933526e-13,1.1280571456902375e-17,3.728902670257824e-15,6.305689891352157e-31,-9.700463527275828e-23,4.327502914313922e-31,circle
0.0010133805683302198,1.1168933032391678e-12,1.390821969469191e-17,4.865563301080023e-15,-1.2297049670680204e-30,4.034338916495008e-21,2.9976111011233846e-31,circle
0.0010121361145038193,1.772032296048976e-12,1.7417239082268653e-17,6.67827420386945e-15,-1.6588781115529032e-30,7.480156841025972e-21,1.5607017559382458e-30,circle
0.0010137009581264013,1.1423154602955482e-12,1.2765566085970285e-17,6.2780051656381046e-15,-1.63218781388126e-30,6.5204618877714225e-21,-7.033057426961858e-31,circle
0.0010119815331472463,1.2332645596189929e-12,2.0841858428633106e-17,7.155427941768993e-15,-1.9932766069742257e-30,4.9658238825344895e-21,1.913752936142176e-30,circle
0.0010108652538304516,1.1198307279857859e-12,1.1953141809239085e-17,3.701142168606377e-15,-7.668020395832938e-31,2.0614706408234887e-21,-1.343056423645342e-31,circle
0.001011290710951432,9.358328079107812e-13,9.498793077068872e-18,4.659112448585662e-15,-9.604508240261167e-31,3.6866130719665695e-21,1.954803469337885e-31,circle
0.0010117789267814637,8.587368469777121e-13,8.052443431612779e-18,2.2040553306016818e-15,-2.120895739437824e-31,1.4583450761366462e-21,-2.030651621944463e-31,circle
0.0010117212076122802,1.1880745533427215e-12,2.95953494521147e-18,3.4856031068870944e-15,2.704296064663457e-31,2.2166319200053174e-21,2.284698511140199e-31,circle
0.0010116703548324556,1.0384240697561382e-12,1.0559482803380194e-19,2.6043001707044793e-15,-2.759341374193048e-32,1.7279606687429136e-21,-3.322291545353812e-32,circle
0.001013169187551817,9.035282713141232e-13,8.818150391342356e-18,3.976542997150511e-15,6.487752319821864e-32,3.219179153603633e-21,-7.418099273164717e-31,circle
0.001014466626834277,5.109182918796106e-13,2.594983729890732e-17,3.8895101018910135e-15,-6.7057009371994025e-31,-1.81228396301418e-21,1.0379145111312172e-30,circle
0.0010139861472781599,4.617268462090138e-13,8.072750101615199e-20,4.444177486109087e-15,-7.807072516072927e-32,1.233422331959679e-22,-3.1478133336037645e-32,circle
0.0010143457921500897,7.17565263449219e-13,7.772426856622544e-17,1.114825834847523e-14,9.028240812246526e-30,7.208113911894759e-21,-5.116781030198007e-30,circle
0.0010147384247356898,8.316595522877687e-13,3.591716831963465e-17,2.1740625152638215e-15,5.500590830747729e-31,7.324802109111665e-22,2.5790117955663406e-31,circle
0.0010145698204536155,8.270383873484166e-13,2.515851225236689e-17,6.1458754580357044e-15,-1.0113652262038829e-30,4.645552311536743e-21,2.1948700885855174e-30,circle
0.001011388647753993,1.096793903712348e-12,1.256770213377831e-16,8.452204259126403e-15,8.608745016830827e-30,1.952626381759904e-21,1.3327556789957741e-30,circle
0.0010111872623336637,1.0404785064404603e-12,7.77606249686479e-17,3.2068378672441675e-15,-1.4915125665190876e-30,-2.5728742673155896e-21,5.8294055661400536e-31,circle
0.0010106024170055778,1.2938769496657592e-12,3.7354690455260225e-17,1.7191615088234644e-17,-4.252590361703999e-34,5.623725588293226e-24,9.462717535317671e-35,circle
0.0010103858734968525,1.201531816766907e-12,1.936846045959145e-16,3.19314921458639e-14,6.293177568736807e-29,5.976312617593987e-22,4.843112454239143e-29,circle
0.0010104745191791683,1.2902930878484703e-12,2.3622934663986326e-16,4.03331923831017e-14,6.867482226474743e-29,-5.8928313745051744e-21,1.038431986337594e-28,circle
0.0010069916572311823,9.683081959358548e-13,6.242604323131448e-17,1.9572541587160694e-14,1.9920281562205852e-29,6.609561307559671e-21,8.440900395312158e-30,circle
0.0010063262792613563,5.912856806114359e-13,9.163603293017976e-17,3.879109855745745e-14,6.005149940807973e-29,2.2369919456156497e-20,-4.174557762376035e-29,circle
0.0010066454337317016,4.594290061770999e-13,7.226659556792558e-17,3.811791959317914e-14,4.986294603513555e-29,1.7500461776150866e-20,-3.893751013444649e-29,circle
0.0010103135243692731,6.847266807934748e-13,1.4315915887988451e-16,4.326067131288503e-14,7.749478352417903e-29,3.446483113871912e-20,-7.473266529253464e-29,circle
0.0010070845595990567,2.959515292934956e-13,1.142349077539909e-16,3.401183032821824e-14,5.14446589423686e-29,1.1691693112267211e-20,-4.298865307546779e-29,circle
0.0010078414600915462,3.9655242351172406e-13,1.3679741376147085e-16,2.70845103990167e-14,3.620725388252484e-29,1.3443629437310957e-20,-3.750974486685656e-29,circle
0.0010070145573660727,5.61974268527638e-13,1.1788596002281064e-16,9.452815141438726e-15,6.556930516420965e-30,5.737575617045995e-21,-7.522006143176684e-30,circle
0.0010098848792147249,6.906482868694526e-13,7.029911249904042e-17,1.6883695468648125e-14,-1.034383154216874e-29,1.2059600406009568e-20,-1.521000958703557e-29,circle
0.0010093450755670162,6.49918478614545e-13,5.99090346586358e-17,1.9272455487383355e-14,-6.948103505812869e-30,1.3940471783627358e-20,-1.950825320376957e-29,circle
0.0010072339293289326,9.83540622707471e-13,7.422737410321595e-17,6.86036232376702e-15,-5.21926350121931e-31,6.7525490674764814e-21,-4.8676614777653144e-30,circle
0.0010137586501644319,8.443975404577877e-13,1.2290708299184123e-16,5.649548639006779e-15,4.654591570193629e-30,9.509153210045711e-22,7.0515789624867585e-31,circle
